Date,ADANIENT.NS,ADANIPORTS.NS,APOLLOHOSP.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJAJFINSV.NS,BAJFINANCE.NS,BEL.NS,BPCL.NS,BHARTIARTL.NS,BRITANNIA.NS,CIPLA.NS,COALINDIA.NS,DRREDDY.NS,EICHERMOT.NS,GRASIM.NS,HCLTECH.NS,HDFCBANK.NS,HDFCLIFE.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,ITC.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,M&M.NS,MARUTI.NS,NESTLEIND.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SBILIFE.NS,SBIN.NS,SUNPHARMA.NS,TATACONSUM.NS,TATAMOTORS.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,TITAN.NS,TRENT.NS,ULTRACEMCO.NS,WIPRO.NS
2/4/2025,2301.5,1125.099976,6782.606934,2354.350098,1015.299988,8911.400391,1813.25,8475.349609,282.9329834,255.9499969,1661.449951,5028.350098,1449.050049,376.5499878,1219.949951,5450.100098,2484.699951,1732.550049,1720.900024,625.9000244,4133.390625,583.9500122,2438.050049,1268.199951,1047.150024,1898.800049,448.0773621,944.25,1928.5,3439.149902,3189.050049,13109.9502,2284.818115,319.1000061,249.1400299,282.3479614,1285.199951,1469.602905,779.2000122,1754.675171,1034.199951,710.5499878,133.4199982,4107.049805,1659.050049,3597.699951,5750.299805,11519.15039,316.25
2/5/2025,2324.600098,1144.349976,6934.841309,2275.199951,1013.299988,8927.799805,1796.75,8509.450195,287.3584595,261.25,1660.449951,4932.649902,1436.800049,382.8500061,1227.550049,5417.200195,2490,1712.849976,1737.800049,627.8499756,4165.875488,600.5999756,2391.050049,1267.699951,1061.199951,1897.050049,441.1861572,949.9000244,1911.75,3383.199951,3178.75,13086.7998,2234.639648,319.6000061,256.5426331,281.9031982,1278.199951,1466.359131,766.0499878,1742.25,1015.299988,717.0499878,134.3999939,4091.100098,1661,3490.899902,5749.950195,11585.7002,317.1000061
2/6/2025,2312.449951,1164.050049,6864.541016,2263.399902,1020.700012,8846.349609,1788,8507.299805,278.209137,262.5499878,1619.75,4956.049805,1471.5,379.6000061,1236.650024,5342,2499,1723.5,1743.849976,631.9500122,4126.512695,595.4500122,2372.699951,1272.400024,1065.550049,1915.650024,434.245697,948.4000244,1915.949951,3352.75,3139.949951,13074,2225.199951,312.7999878,251.1499939,277.8999939,1281.550049,1462.316772,752.25,1742,1023.349976,709.6500244,132.5399933,4082.75,1669.599976,3410.75,5277.100098,11477.34961,317.9500122
2/7/2025,2338.800049,1146.099976,6780.958984,2271,1024.099976,8989.400391,1798.349976,8474.25,275.5239868,264.2999878,1676.75,4870.5,1472.25,378.25,1240.400024,5372.549805,2487.600098,1725.650024,1732.75,635.7000122,4170.021484,607.4000244,2363.850098,1256.900024,1079.099976,1903.650024,424.1549683,980.75,1929.25,3336.899902,3198.449951,13049.5,2225.100098,316.9500122,248.8999939,278.1499939,1266.699951,1468.15564,737.2000122,1749.800049,1021.200012,706.75,138.3099976,4029.399902,1692.099976,3424.800049,5454.399902,11640.59961,318
2/10/2025,2290.800049,1144.199951,6751.700684,2270.149902,1011.75,8880.549805,1792.400024,8286.799805,271.9438477,259.8999939,1693.050049,4909.649902,1458.849976,370.5,1220.949951,5335.350098,2473.25,1733.849976,1715.75,635.7000122,4093.735596,596,2361.449951,1262.599976,1068,1880.300049,420.5617065,959.1500244,1960.150024,3328.649902,3137.25,12900.75,2221.050049,310.5,242.4499969,268.7000122,1253.650024,1445.448853,736.7999878,1732.099976,1027.5,696,134.0399933,4036.949951,1699.050049,3327.449951,5196.75,11532.2998,319.0499878
2/11/2025,2321.75,1140.099976,6308.427734,2240.850098,1007.400024,8762,1744.849976,8191.200195,263.5900879,255.1499939,1696.75,4904.049805,1453.150024,359,1209.800049,4972.350098,2491.449951,1723.199951,1701.400024,618.5999756,3985.550049,595.8499756,2315.25,1252.75,1054.150024,1875.650024,411.7999878,954.5,1918.599976,3239.649902,3085.949951,12724.34961,2195.5,305.6000061,238.9499969,261.4500122,1234.849976,1416.304443,731.0999756,1699.75,1013.799988,677.75,130.1100006,3963.550049,1669.099976,3281.800049,5228.350098,11300.2002,313
2/12/2025,2353.449951,1128.949951,6365.546387,2228.25,1006.900024,8711.599609,1788.699951,8214.049805,257.7225952,255.6000061,1711.550049,4918.299805,1449.199951,360.3500061,1215.849976,4849.450195,2484.949951,1717.300049,1706.800049,629.1500244,4015.75,598.9000244,2332.5,1251.800049,1039.650024,1863.150024,409.8999939,956.4000244,1943.949951,3289.649902,2987.199951,12655.5498,2193.75,306.25,237.3999939,257.0499878,1216.550049,1449.391479,733.1500244,1693.849976,1029.75,684.3499756,132.2799988,3950.149902,1680.199951,3255.449951,5237.299805,11478.5,310.2000122
2/13/2025,2244.699951,1111.550049,6363.200195,2236.399902,1008.200012,8691.349609,1849.25,8409,260.109375,255.75,1714.599976,4888.700195,1472.150024,361.6499939,1223.599976,4820.399902,2490.100098,1703.099976,1697.699951,629.5999756,3956.550049,602.5,2321.5,1248.900024,1047.25,1843.25,409.7000122,969.7999878,1972.800049,3263.649902,2978,12671.2998,2177.550049,306.7000122,234.9499969,259.1499939,1216.099976,1467.706543,727.6500244,1746.349976,1022.799988,683.8499756,136.25,3910.149902,1675.300049,3231.5,5256.799805,11546.4502,308.5499878
2/14/2025,2152.649902,1062.699951,6270.5,2231.300049,997.5,8506.5,1841.300049,8392.299805,248.9710693,251,1717.050049,4939.649902,1459.449951,354.2000122,1197.050049,4703.350098,2431.300049,1711.25,1694.849976,626.2000122,3862.399902,606.2000122,2318.350098,1260.099976,1024.400024,1856.400024,410.25,964.5999756,1952.400024,3237.649902,2942.600098,12680.25,2195.850098,300.3500061,230.5,257.3500061,1217.25,1462.666138,722.1500244,1700.5,1022.549988,680.6500244,134.4700012,3934.850098,1659.099976,3213.25,5117.350098,11263.84961,308.1000061
2/17/2025,2223.699951,1082.900024,6300.200195,2250.850098,992.9500122,8537.150391,1894.849976,8426.599609,247.1312561,252.3000031,1675.550049,4963.700195,1474.650024,360.1000061,1198.949951,4745.200195,2463.850098,1709.900024,1717.349976,623.25,3876.449951,610.8499756,2329.399902,1251.150024,1048.25,1842.300049,408.6000061,973.5499878,1945.300049,3221.850098,2831.949951,12762.90039,2216.5,302.3500061,233.6499939,263.2000122,1224.900024,1473.39563,727.7000122,1714.199951,1023.25,686.5999756,134.2899933,3904.5,1664.949951,3233.199951,5096.450195,11490.09961,305.3500061
